permit_number,streetname,cross_street_1,cross_street_2,utility_contractor,permit_reason,utility_type,effective_date,expiration_date,status,cnn
25EXC-01970,EUCALYPTUS DR,22ND AVE,MELBA AVE,Pacific Gas & Electric,Spot Paving,Electric,2025-04-24T00:00:00.000,2025-05-22T00:00:00.000,APPROVED,5272000
25EXC-02187,35TH AVE,LAWTON ST,MORAGA ST,J. Flores Construction Co.,Replace Main,Sewer,2025-04-29T00:00:00.000,2025-05-12T00:00:00.000,ACTIVE,1773000
25EXC-02257,BRANNAN ST,DELANCEY ST,COLIN P KELLY JR ST,Pacific Gas & Electric,Install New Main,Gas,2025-06-23T00:00:00.000,2025-07-21T00:00:00.000,APPROVED,3072000
25EXC-01921,EDDY ST,FRANKLIN ST,GOUGH ST,CableCom,Repair Service,Cable TV,2025-04-15T00:00:00.000,2025-05-13T00:00:00.000,ACTIVE,5067000
25EXC-01686,FAIR OAKS ST,24TH ST,25TH ST,Pacific Gas & Electric,Spot Paving,Gas,2025-06-09T00:00:00.000,2025-07-07T00:00:00.000,APPROVED,5384000
25EXC-02171,STOCKTON ST,UNION ST,FILBERT ST,J. Flores Construction Co.,Replace Service,Sewer,2025-04-28T00:00:00.000,2025-05-11T00:00:00.000,ACTIVE,12214000
25EXC-01491,STANFORD HEIGHTS AVE,LOS PALMOS DR,DORCAS WAY,Pacific Gas & Electric,Repair Leak,Gas,2025-04-14T00:00:00.000,2025-05-12T00:00:00.000,APPROVED,12071000
25EXC-02162,FILBERT ST,VAN NESS AVE,FRANKLIN ST,J. Flores Construction Co.,Replace Service,Sewer,2025-04-28T00:00:00.000,2025-05-11T00:00:00.000,ACTIVE,5515000
25EXC-01922,ELLIS ST,TAYLOR ST,,Pacific Gas & Electric,Other,Electric,2025-04-14T00:00:00.000,2025-05-16T00:00:00.000,ACTIVE,24926000
25EXC-02180,LOMBARD ST,WEBSTER ST,FILLMORE ST,Pacific Gas & Electric,Other,Gas,2025-05-02T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,8459101
25EXC-01418,26TH AVE,BALBOA ST,CABRILLO ST,Pacific Gas & Electric,Cut-Off Service,Gas,2025-04-14T00:00:00.000,2025-05-12T00:00:00.000,APPROVED,1475000
25EXC-02177,LIBERTY ST,NOE ST,,Pacific Gas & Electric,Spot Paving,Gas,2025-05-08T00:00:00.000,2025-06-05T00:00:00.000,ACTIVE,25784000
25EXC-02182,WILLARD ST,FREDERICK ST,CARL ST,Pacific Gas & Electric,Replace Pole,Electric:Electric:Electric,2025-05-05T00:00:00.000,2025-06-02T00:00:00.000,APPROVED,13641000
25EXC-00013,28TH ST,CHURCH ST,SANCHEZ ST,Pacific Gas & Electric,Replace Pole,Electric,2025-04-30T00:00:00.000,2025-05-28T00:00:00.000,APPROVED,1601000
