permit_number,streetname,cross_street_1,cross_street_2,utility_contractor,permit_reason,utility_type,effective_date,expiration_date,status,cnn,latitude,longitude
24EXC-03805,MARKET ST,01ST ST \ BUSH ST,02ND ST,"Shimmick Construction Co., Inc.",Other,Other,2024-10-25,2025-06-12,ACTIVE,8742101,37.7929248,-122.3967898
24EXC-03026,05TH ST,MISSION ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,24634000,,
24EXC-03026,FREMONT ST,HOWARD ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,24527000,37.7885162,-122.3942213
24EXC-03026,03RD ST,SAINT FRANCIS PL,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,24592000,,
24EXC-03026,HOWARD ST,MAIN ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,24504000,37.7921712,-122.3914348
24EXC-03026,MISSION ST,MINT ST,MARY ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,9098000,37.7927786,-122.3938173
24EXC-03026,HARRISON ST,03RD ST,LAPU-LAPU ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,6717000,37.7846833,-122.3947087
24EXC-03026,07TH ST,ODD FELLOWS WAY \ STEVENSON ST,MISSION ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,366001,,
24EXC-03026,03RD ST,MISSION CREEK,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,23586000,,
24EXC-03026,03RD ST,TERRY A FRANCOIS BLVD,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,30021000,,
23EXC-04680,VISITACION AVE,SAWYER ST,HAHN ST \ MRS. JACKSON WAY,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,13331000,37.7110918,-122.4066530
24EXC-04204,MARKET ST,05TH ST \ CYRIL MAGNIN ST,MASON ST \ TURK ST,"Shimmick Construction Co., Inc.",Other,Other,2024-11-22,2025-07-05,ACTIVE,8748101,37.7929248,-122.3967898
24EXC-03026,MISSION ST,JESSIE WEST ST,05TH ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,9096003,37.7927786,-122.3938173
23EXC-04680,DESMOND ST,SUNNYDALE AVE,COUNTY LINE,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,4722000,37.7103675,-122.4054328
24EXC-04891,MOUNT VERNON AVE,ROME ST,CAYUGA AVE,Pacific Gas & Electric,Other,Gas,2025-04-07,2025-05-05,APPROVED,9427000,37.7174192,-122.4462381
24EXC-03026,FOLSOM ST,HAWTHORNE ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,24514000,37.7723577,-122.4134198
24EXC-03026,MISSION ST,05TH ST,MINT ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,9097000,37.7927786,-122.3938173
23EXC-04680,DESMOND ST,SUNNYDALE AVE,,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,20338000,37.7103675,-122.4054328
24EXC-03026,HOWARD ST,BEALE ST,FREMONT ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,7031000,37.7921712,-122.3914348
24EXC-03026,07TH ST,MISSION ST,MINNA ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,368000,,
24EXC-03026,MISSION ST,06TH ST,07TH ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,9100000,37.7927786,-122.3938173
23EXC-04680,SUNNYDALE AVE,GARRISON AVE,SAWYER ST,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,12265000,37.7181672,-122.4259326
24EXC-03026,HARRISON ST,HAWTHORNE ST,03RD ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,6716000,37.7846833,-122.3947087
23EXC-04680,SAWYER ST,SUNRISE WAY,,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,20404000,37.7111468,-122.4153188
24EXC-03026,HARRISON ST,LAPU-LAPU ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,24579000,37.7846833,-122.3947087
23EXC-04680,SUNNYDALE AVE,TALBERT ST,PEABODY ST,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,12258000,37.7181672,-122.4259326
23EXC-04680,HAHN ST,MRS. JACKSON WAY \ SUNNYDALE AVE,,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,20409000,37.7109426,-122.4164568
